id	warning	biosample_id	biosample_accession	biosample_secondary_accession	bioproject_accession	organism	strain	organization	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	host	biovar	description	publication_date	modification_date
31		2402996	SAMN00115141	SAMN02402996	PRJNA47685	Yersinia pestis 2506	2506	Beijing Genomics Institute	2005	Xinjiang, China	44.02	88.11		Rhombomys opimus	Mediaevalis	Generic sample from Yersinia pestis 2506	2013/11/15	2014/03/07
32		2402997	SAMN00115142	SAMN02402997	PRJNA47685	Yersinia pestis 2654	2654	Beijing Genomics Institute	2006	Xinjiang, China	44.02	88.11		Rhombomys opimus	Mediaevalis	Generic sample from Yersinia pestis 2654	2013/11/15	2014/03/07
33		2402998	SAMN00115143	SAMN02402998	PRJNA47685	Yersinia pestis 30017	30017	Beijing Genomics Institute	1976	Tibet, China	31.47	92.1		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis 30017	2013/11/15	2014/03/07
34		2403013	SAMN00115144	SAMN02403013	PRJNA47685	Yersinia pestis 735	735	Beijing Genomics Institute	1965	St.Petersberg, Russia	NA	NA		Rattus norvegicus	Antiqua	Generic sample from Yersinia pestis 735	2013/11/15	2014/03/07
35		2402999	SAMN00115145	SAMN02402999	PRJNA47685	Yersinia pestis 34008	34008	Beijing Genomics Institute	1968	Tibet, China	29.66	84.15		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis 34008	2013/11/15	2014/03/07
36		2403000	SAMN00115146	SAMN02403000	PRJNA47685	Yersinia pestis 34202	34202	Beijing Genomics Institute	1990	Tibet, China	30.37	81.18		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis 34202	2013/11/15	2014/03/07
37		2403001	SAMN00115147	SAMN02403001	PRJNA47685	Yersinia pestis 351001	351001	Beijing Genomics Institute	1996	Tibet, China	29.39	90.7		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis 351001	2013/11/15	2014/03/07
38		2403079	SAMN00115148	SAMN02403079	PRJNA47685	Yersinia pestis G1996010	G1996010	Beijing Genomics Institute	1996	Tibet, China	28.46	92.42		Pseudois nayaur	Antiqua	Generic sample from Yersinia pestis G1996010	2013/11/15	2014/03/07
39		2403078	SAMN00115149	SAMN02403078	PRJNA47685	Yersinia pestis G1996006	G1996006	Beijing Genomics Institute	1996	Tibet, China	27.98	91.91		Human	Antiqua	Generic sample from Yersinia pestis G1996006	2013/11/15	2014/03/07
40		2403020	SAMN00115150	SAMN02403020	PRJNA47685	Yersinia pestis A1973001	A1973001	Beijing Genomics Institute	1973	Xinjiang, China	39.7	75.18		Marmota caudata	Mediaevalis	Generic sample from Yersinia pestis A1973001	2013/11/15	2014/03/07
41		2403002	SAMN00115151	SAMN02403002	PRJNA47685	Yersinia pestis 42013	42013	Beijing Genomics Institute	1971	Xinjiang, China	44.45	84.62		Citellus undulatus	Antiqua	Generic sample from Yersinia pestis 42013	2013/11/15	2014/03/07
42		2403003	SAMN00115152	SAMN02403003	PRJNA47685	Yersinia pestis 42082	42082	Beijing Genomics Institute	1995	Xinjiang, China	44.45	84.62		Citellus undulatus	Antiqua	Generic sample from Yersinia pestis 42082	2013/11/15	2014/03/07
43		2403004	SAMN00115153	SAMN02403004	PRJNA47685	Yersinia pestis 42091	42091	Beijing Genomics Institute	1999	Xinjiang, China	44.45	84.62		Citellus undulatus	Antiqua	Generic sample from Yersinia pestis 42091	2013/11/15	2014/03/07
44		2403005	SAMN00115154	SAMN02403005	PRJNA47685	Yersinia pestis 42095	42095	Beijing Genomics Institute	2001	Xinjiang, China	44.45	84.62		Citellus undulatus	Antiqua	Generic sample from Yersinia pestis 42095	2013/11/15	2014/03/07
45		2403082	SAMN00115155	SAMN02403082	PRJNA47685	Yersinia pestis H1959004	H1959004	Beijing Genomics Institute	1959	Jilin, China	45.2	124.82		Rattus norvegicus	Antiqua	Generic sample from Yersinia pestis H1959004	2013/11/15	2014/03/07
46		2403006	SAMN00115156	SAMN02403006	PRJNA47685	Yersinia pestis 5	5	Beijing Genomics Institute	2004	Qinghai, China	36.9	98.46		Human	Antiqua	Generic sample from Yersinia pestis 5	2013/11/15	2014/03/07
47		2403008	SAMN00115157	SAMN02403008	PRJNA47685	Yersinia pestis 620024	620024	Beijing Genomics Institute	1962	Qinghai, China	35.6	99.99		Human	Antiqua	Generic sample from Yersinia pestis 620024	2013/11/15	2014/03/07
48		2403069	SAMN00115158	SAMN02403069	PRJNA47685	Yersinia pestis D1964001	D1964001	Beijing Genomics Institute	1964	Qinghai, China	37.37	101.62		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis D1964001	2013/11/15	2014/03/07
49		2403023	SAMN00115159	SAMN02403023	PRJNA47685	Yersinia pestis C1976001	C1976001	Beijing Genomics Institute	1976	Gansu, China	38.46	94.25		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis C1976001	2013/11/15	2014/03/07
50		2403010	SAMN00115160	SAMN02403010	PRJNA47685	Yersinia pestis 71021	71021	Beijing Genomics Institute	1989	Gansu, China	38.46	94.25		Oropsylla silantiewi	Antiqua	Generic sample from Yersinia pestis 71021	2013/11/15	2014/03/07
51		2403011	SAMN00115161	SAMN02403011	PRJNA47685	Yersinia pestis 710317	710317	Beijing Genomics Institute	1971	Qinghai, China	36.72	101.28		Human	Antiqua	Generic sample from Yersinia pestis 710317	2013/11/15	2014/03/07
52		2403012	SAMN00115162	SAMN02403012	PRJNA47685	Yersinia pestis 7338	7338	Beijing Genomics Institute	1973	Xinjiang, China	37.12	79.94		Marmota himalayana	Mediaevalis	Generic sample from Yersinia pestis 7338	2013/11/15	2014/03/07
53		2403071	SAMN00115163	SAMN02403071	PRJNA47685	Yersinia pestis D1982001	D1982001	Beijing Genomics Institute	1982	Gansu, China	38.86	99.57		Human	Antiqua	Generic sample from Yersinia pestis D1982001	2013/11/15	2014/03/07
54		2403009	SAMN00115164	SAMN02403009	PRJNA47685	Yersinia pestis 7	7	Beijing Genomics Institute	2004	Qinghai, China	36.9	98.46		Human	Antiqua	Generic sample from Yersinia pestis 7	2013/11/15	2014/03/07
55		2403014	SAMN00115165	SAMN02403014	PRJNA47685	Yersinia pestis 780441	780441	Beijing Genomics Institute	1978	Qinghai, China	34.92	98.26		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis 780441	2013/11/15	2014/03/07
56		2403076	SAMN00115166	SAMN02403076	PRJNA47685	Yersinia pestis F1954001	F1954001	Beijing Genomics Institute	1954	Yunnan, China	25.48	100.56		Rattus flavipectus	Antiqua	Generic sample from Yersinia pestis F1954001	2013/11/15	2014/03/07
57		2403024	SAMN00115167	SAMN02403024	PRJNA47685	Yersinia pestis C1989001	C1989001	Beijing Genomics Institute	1989	Qinghai, China	32.92	95.3		Human	Antiqua	Generic sample from Yersinia pestis C1989001	2013/11/15	2014/03/07
58		2403015	SAMN00115168	SAMN02403015	PRJNA47685	Yersinia pestis 9	9	Beijing Genomics Institute	2004	Qinghai, China	33.35	97.12		Human	Antiqua	Generic sample from Yersinia pestis 9	2013/11/15	2014/03/07
59		2403016	SAMN00115169	SAMN02403016	PRJNA47685	Yersinia pestis 91	91	Beijing Genomics Institute	1987	Xinjiang, China	38.09	85.32		Oropsylla silantiewi	Mediaevalis	Generic sample from Yersinia pestis 91	2013/11/15	2014/03/07
60		2403072	SAMN00115170	SAMN02403072	PRJNA47685	Yersinia pestis D1991004	D1991004	Beijing Genomics Institute	1991	Qinghai, China	35.03	101.5		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis D1991004	2013/11/15	2014/03/07
61		2403017	SAMN00115171	SAMN02403017	PRJNA47685	Yersinia pestis 945	945	Beijing Genomics Institute	1994	Xinjiang, China	44.29	85.56		Human flea	Antiqua	Generic sample from Yersinia pestis 945	2013/11/15	2014/03/07
62		2403018	SAMN00115172	SAMN02403018	PRJNA47685	Yersinia pestis 970754	970754	Beijing Genomics Institute	1997	Qinghai, China	32.23	96.47		Ovis aries	Antiqua	Generic sample from Yersinia pestis 970754	2013/11/15	2014/03/07
63		2403025	SAMN00115173	SAMN02403025	PRJNA47685	Yersinia pestis CMCC02041	CMCC02041	Beijing Genomics Institute	1965	Qinghai, China	38.2	100.22		Mustela eversmanni	Antiqua	Generic sample from Yersinia pestis CMCC02041	2013/11/15	2014/03/07
64		2403026	SAMN00115174	SAMN02403026	PRJNA47685	Yersinia pestis CMCC03001	CMCC03001	Beijing Genomics Institute	1954	Qinghai, China	34.75	101.62		Ochotona daurica	Antiqua	Generic sample from Yersinia pestis CMCC03001	2013/11/15	2014/03/07
65		2403027	SAMN00115175	SAMN02403027	PRJNA47685	Yersinia pestis CMCC05009	CMCC05009	Beijing Genomics Institute	1961	Qinghai, China	35.6	99.99		Allactaga sibirica	Antiqua	Generic sample from Yersinia pestis CMCC05009	2013/11/15	2014/03/07
66		2403028	SAMN00115176	SAMN02403028	PRJNA47685	Yersinia pestis CMCC05013	CMCC05013	Beijing Genomics Institute	1988	Qinghai, China	35.6	99.99		Linognathoides palaearctus	Antiqua	Generic sample from Yersinia pestis CMCC05013	2013/11/15	2014/03/07
67		2403029	SAMN00115177	SAMN02403029	PRJNA47685	Yersinia pestis CMCC10012	CMCC10012	Beijing Genomics Institute	1964	Qinghai, China	36.89	100.99		Ixodex crenulatus	Antiqua	Generic sample from Yersinia pestis CMCC10012	2013/11/15	2014/03/07
68		2403030	SAMN00115178	SAMN02403030	PRJNA47685	Yersinia pestis CMCC104003	CMCC104003	Beijing Genomics Institute	1989	Inner Mongolia, China	43.97	120.05		Spermophilus dauricus	Antiqua	Generic sample from Yersinia pestis CMCC104003	2013/11/15	2014/03/07
69		2403031	SAMN00115179	SAMN02403031	PRJNA47685	Yersinia pestis CMCC106002	CMCC106002	Beijing Genomics Institute	1996	Inner Mongolia, China	44.55	120.87		Citellophilus tesquorum	Antiqua	Generic sample from Yersinia pestis CMCC106002	2013/11/15	2014/03/07
70		2403032	SAMN00115180	SAMN02403032	PRJNA47685	Yersinia pestis CMCC107004	CMCC107004	Beijing Genomics Institute	2003	Inner Mongolia, China	41.9	114		Citellophilus tesquorum mongolicus	Mediaevalis	Generic sample from Yersinia pestis CMCC107004	2013/11/15	2014/03/07
71		2403033	SAMN00115181	SAMN02403033	PRJNA47685	Yersinia pestis CMCC11001	CMCC11001	Beijing Genomics Institute	1954	Qinghai, China	35.57	100.75		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis CMCC11001	2013/11/15	2014/03/07
72		2403075	SAMN00115182	SAMN02403075	PRJNA47685	Yersinia pestis F1946001	F1946001	Beijing Genomics Institute	1946	Fujian, China	26.58	118.75		Human	Orientalis	Generic sample from Yersinia pestis F1946001	2013/11/15	2014/03/07
73		2403034	SAMN00115183	SAMN02403034	PRJNA47685	Yersinia pestis CMCC114001	CMCC114001	Beijing Genomics Institute	1952	Fujian, China	25.44	119		Mus musculus	Orientalis	Generic sample from Yersinia pestis CMCC114001	2013/11/15	2014/03/07
74		2403035	SAMN00115184	SAMN02403035	PRJNA47685	Yersinia pestis CMCC12003	CMCC12003	Beijing Genomics Institute	1961	Qinghai, China	37.37	101.62		Marmota himalayana	Mediaevalis	Generic sample from Yersinia pestis CMCC12003	2013/11/15	2014/03/07
75		2403087	SAMN00115185	SAMN02403087	PRJNA47685	Yersinia pestis I1994006	I1994006	Beijing Genomics Institute	1994	Hebei, China	41.87	114.6		Citellophilus tesquorum sungaris	Mediaevalis	Generic sample from Yersinia pestis I1994006	2013/11/15	2014/03/07
76		2403070	SAMN00115186	SAMN02403070	PRJNA47685	Yersinia pestis D1964002	D1964002	Beijing Genomics Institute	1964	Qinghai, China	37.37	101.62		Canis faliaris	Antiqua	Generic sample from Yersinia pestis D1964002	2013/11/15	2014/03/07
77		2403090	SAMN00115187	SAMN02403090	PRJNA47685	Yersinia pestis J1978002	J1978002	Beijing Genomics Institute	1978	Ningxia, China	36.56	105.64		Spermophilus alaschanicus	Mediaevalis	Generic sample from Yersinia pestis J1978002	2013/11/15	2014/03/07
78		2403036	SAMN00115188	SAMN02403036	PRJNA47685	Yersinia pestis CMCC125002	CMCC125002	Beijing Genomics Institute	1964	Ningxia, China	35.97	105.7		Spermophilus alaschanicus	Mediaevalis	Generic sample from Yersinia pestis CMCC125002	2013/11/15	2014/03/07
79		2403084	SAMN00115189	SAMN02403084	PRJNA47685	Yersinia pestis I1969003	I1969003	Beijing Genomics Institute	1969	Ningxia, China	38.1	106.34		Meriones unguiculatus	Mediaevalis	Generic sample from Yersinia pestis I1969003	2013/11/15	2014/03/07
80		2403022	SAMN00115190	SAMN02403022	PRJNA47685	Yersinia pestis C1975003	C1975003	Beijing Genomics Institute	1975	Qinghai, China	33.03	96.97		Ovis aries	Antiqua	Generic sample from Yersinia pestis C1975003	2013/11/15	2014/03/07
81		2403088	SAMN00115191	SAMN02403088	PRJNA47685	Yersinia pestis I2001001	I2001001	Beijing Genomics Institute	2001	Shaanxi, China	37.6	107.59		Meriones unguiculatus	Mediaevalis	Generic sample from Yersinia pestis I2001001	2013/11/15	2014/03/07
82		2403037	SAMN00115192	SAMN02403037	PRJNA47685	Yersinia pestis CMCC18019	CMCC18019	Beijing Genomics Institute	2001	Qinghai, China	33.35	97.12		Microtus fuscus	Microtus	Generic sample from Yersinia pestis CMCC18019	2013/11/15	2014/03/07
83		2403038	SAMN00115193	SAMN02403038	PRJNA47685	Yersinia pestis CMCC21106	CMCC21106	Beijing Genomics Institute	2001	Xinjiang, China	39.7	75.18		Marmota baibacina	Antiqua	Generic sample from Yersinia pestis CMCC21106	2013/11/15	2014/03/07
84		2403039	SAMN00115194	SAMN02403039	PRJNA47685	Yersinia pestis CMCC27002	CMCC27002	Beijing Genomics Institute	1991	Qinghai, China	35.24	100.63		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis CMCC27002	2013/11/15	2014/03/07
85		2403040	SAMN00115195	SAMN02403040	PRJNA47685	Yersinia pestis CMCC31004	CMCC31004	Beijing Genomics Institute	1990	Tibet, China	32.29	91.68		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis CMCC31004	2013/11/15	2014/03/07
86		2403041	SAMN00115196	SAMN02403041	PRJNA47685	Yersinia pestis CMCC347001	CMCC347001	Beijing Genomics Institute	1996	Tibet, China	30.2	91.24		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis CMCC347001	2013/11/15	2014/03/07
87		2403042	SAMN00115197	SAMN02403042	PRJNA47685	Yersinia pestis CMCC348002	CMCC348002	Beijing Genomics Institute	1998	Tibet, China	29.71	89.02		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis CMCC348002	2013/11/15	2014/03/07
88		2403043	SAMN00115198	SAMN02403043	PRJNA47685	Yersinia pestis CMCC38001	CMCC38001	Beijing Genomics Institute	1979	Xinjiang, China	39.73	76.12		Marmota baibacina	Antiqua	Generic sample from Yersinia pestis CMCC38001	2013/11/15	2014/03/07
89		2403019	SAMN00115199	SAMN02403019	PRJNA47685	Yersinia pestis A1956001	A1956001	Beijing Genomics Institute	1956	Xinjiang, China	39.7	75.18		Marmota caudata	Antiqua	Generic sample from Yersinia pestis A1956001	2013/11/15	2014/03/07
90		2403044	SAMN00115200	SAMN02403044	PRJNA47685	Yersinia pestis CMCC42007	CMCC42007	Beijing Genomics Institute	1967	Xinjiang, China	44.45	84.62		Marmota baibacina	Antiqua	Generic sample from Yersinia pestis CMCC42007	2013/11/15	2014/03/07
91		2403045	SAMN00115201	SAMN02403045	PRJNA47685	Yersinia pestis CMCC43032	CMCC43032	Beijing Genomics Institute	1980	Xinjiang, China	44.18	86.92		Oropsylla silantiewi	Antiqua	Generic sample from Yersinia pestis CMCC43032	2013/11/15	2014/03/07
92		2403092	SAMN00115202	SAMN02403092	PRJNA47685	Yersinia pestis K21985002	K21985002	Beijing Genomics Institute	1985	Xinjiang, China	39	88.1		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis K21985002	2013/11/15	2014/03/07
93		2403091	SAMN00115203	SAMN02403091	PRJNA47685	Yersinia pestis K11973002	K11973002	Beijing Genomics Institute	1973	Xinjiang, China	37.12	79.94		Marmota himalayana	Mediaevalis	Generic sample from Yersinia pestis K11973002	2013/11/15	2014/03/07
94		2403046	SAMN00115204	SAMN02403046	PRJNA47685	Yersinia pestis CMCC49003	CMCC49003	Beijing Genomics Institute	1976	Xinjiang, China	43.82	82.53		Citellus undulatus	Antiqua	Generic sample from Yersinia pestis CMCC49003	2013/11/15	2014/03/07
95		2403047	SAMN00115205	SAMN02403047	PRJNA47685	Yersinia pestis CMCC51020	CMCC51020	Beijing Genomics Institute	1954	Jilin, China	44.3	123.97		Rattus norvegicus	Antiqua	Generic sample from Yersinia pestis CMCC51020	2013/11/15	2014/03/07
96		2403081	SAMN00115206	SAMN02403081	PRJNA47685	Yersinia pestis H1958004	H1958004	Beijing Genomics Institute	1958	Jilin, China	43.87	126.57		Spermophilus dauricus	Mediaevalis	Generic sample from Yersinia pestis H1958004	2013/11/15	2014/03/07
97		2403048	SAMN00115207	SAMN02403048	PRJNA47685	Yersinia pestis CMCC64001	CMCC64001	Beijing Genomics Institute	1957	Inner Mongolia, China	45.05	121.47		Rhipicephalus sanguineus	Antiqua	Generic sample from Yersinia pestis CMCC64001	2013/11/15	2014/03/07
98		2403049	SAMN00115208	SAMN02403049	PRJNA47685	Yersinia pestis CMCC640047	CMCC640047	Beijing Genomics Institute	1964	Qinghai, China	36.27	100.61		Human	Antiqua	Generic sample from Yersinia pestis CMCC640047	2013/11/15	2014/03/07
99		2403050	SAMN00115209	SAMN02403050	PRJNA47685	Yersinia pestis CMCC67001	CMCC67001	Beijing Genomics Institute	1959	Inner Mongolia, China	42.97	122.35		Human	Antiqua	Generic sample from Yersinia pestis CMCC67001	2013/11/15	2014/03/07
100		2403051	SAMN00115210	SAMN02403051	PRJNA47685	Yersinia pestis CMCC71001	CMCC71001	Beijing Genomics Institute	1961	Gansu, China	38.46	94.25		Marmota himalayana	Antiqua	Generic sample from Yersinia pestis CMCC71001	2013/11/15	2014/03/07
101		2403089	SAMN00115211	SAMN02403089	PRJNA47685	Yersinia pestis J1963002	J1963002	Beijing Genomics Institute	1963	Gansu, China	35.72	105.08		Citellophilus tesquorum sungaris	Mediaevalis	Generic sample from Yersinia pestis J1963002	2013/11/15	2014/03/07
102		2403077	SAMN00115212	SAMN02403077	PRJNA47685	Yersinia pestis F1984001	F1984001	Beijing Genomics Institute	1984	Yunnan, China	24.69	97.93		Rattus flavipectus	Orientalis	Generic sample from Yersinia pestis F1984001	2013/11/15	2014/03/07
103		2403052	SAMN00115213	SAMN02403052	PRJNA47685	Yersinia pestis CMCC8211	CMCC8211	Beijing Genomics Institute	1982	Xinjiang, China	44.67	82.92		Citellophilus tesquorum	Antiqua	Generic sample from Yersinia pestis CMCC8211	2013/11/15	2014/03/07
104		2403073	SAMN00115214	SAMN02403073	PRJNA47685	Yersinia pestis E1977001	E1977001	Beijing Genomics Institute	1977	Yunnan, China	26.53	99.88		Ctenophthalmus quadratus	Antiqua	Generic sample from Yersinia pestis E1977001	2013/11/15	2014/03/07
105		2403053	SAMN00115215	SAMN02403053	PRJNA47685	Yersinia pestis CMCC84033	CMCC84033	Beijing Genomics Institute	1979	Yunnan, China	26.53	99.88		Eothenomys miletus	Antiqua	Generic sample from Yersinia pestis CMCC84033	2013/11/15	2014/03/07
106		2403054	SAMN00115216	SAMN02403054	PRJNA47685	Yersinia pestis CMCC84038	CMCC84038	Beijing Genomics Institute	1982	Yunnan, China	26.53	99.88		Apodemus chevrieri	Antiqua	Generic sample from Yersinia pestis CMCC84038	2013/11/15	2014/03/07
107		2403055	SAMN00115217	SAMN02403055	PRJNA47685	Yersinia pestis CMCC84046	CMCC84046	Beijing Genomics Institute	1984	Yunnan, China	26.53	99.88		Eothenomys miletus	Antiqua	Generic sample from Yersinia pestis CMCC84046	2013/11/15	2014/03/07
108		2403056	SAMN00115218	SAMN02403056	PRJNA47685	Yersinia pestis CMCC87001	CMCC87001	Beijing Genomics Institute	1982	Yunnan, China	24	97.83		Rattus flavipectus	Orientalis	Generic sample from Yersinia pestis CMCC87001	2013/11/15	2014/03/07
109		2403057	SAMN00115219	SAMN02403057	PRJNA47685	Yersinia pestis CMCC90027	CMCC90027	Beijing Genomics Institute	1970	Inner Mongolia, China	43.85	113.7		Meriones unguiculatus	Mediaevalis	Generic sample from Yersinia pestis CMCC90027	2013/11/15	2014/03/07
110		2403058	SAMN00115220	SAMN02403058	PRJNA47685	Yersinia pestis CMCC91090	CMCC91090	Beijing Genomics Institute	1970	Inner Mongolia, China	44.03	114.97		Microtus brandti	Microtus	Generic sample from Yersinia pestis CMCC91090	2013/11/15	2014/03/07
111		2403059	SAMN00115221	SAMN02403059	PRJNA47685	Yersinia pestis CMCC92004	CMCC92004	Beijing Genomics Institute	1957	Inner Mongolia, China	42.47	112.95		Ophthalmopsylla kiritschenkoi	Mediaevalis	Generic sample from Yersinia pestis CMCC92004	2013/11/15	2014/03/07
112		2403060	SAMN00115222	SAMN02403060	PRJNA47685	Yersinia pestis CMCC92010	CMCC92010	Beijing Genomics Institute	1971	Inner Mongolia, China	42.47	112.95		Spermophilus dauricus	Antiqua	Generic sample from Yersinia pestis CMCC92010	2013/11/15	2014/03/07
113		2403061	SAMN00115223	SAMN02403061	PRJNA47685	Yersinia pestis CMCC93014	CMCC93014	Beijing Genomics Institute	1970	Inner Mongolia, China	43.95	116.08		Microtus brandti	Microtus	Generic sample from Yersinia pestis CMCC93014	2013/11/15	2014/03/07
114		2403062	SAMN00115224	SAMN02403062	PRJNA47685	Yersinia pestis CMCC95001	CMCC95001	Beijing Genomics Institute	1970	Inner Mongolia, China	42.32	115		Spermophilus dauricus	Antiqua	Generic sample from Yersinia pestis CMCC95001	2013/11/15	2014/03/07
115		2403063	SAMN00115225	SAMN02403063	PRJNA47685	Yersinia pestis CMCC96001	CMCC96001	Beijing Genomics Institute	1957	Inner Mongolia, China	42.25	116.02		Vulpes vulpes	Antiqua	Generic sample from Yersinia pestis CMCC96001	2013/11/15	2014/03/07
