id	BioProject_id	BioProjectAccession	DataType	Description	MethodType	Name	TargetCapture	TargetMaterial	TargetScope	Title	Type	OrganismLabel	OrganismStrain	Supergroup	TaxonomicID	RegistrationDate	RelevanceMedical	SequencingStatus	SubmitterOrganization
11	341721	PRJNA341721	Genome sequencing and assembly	Comparative analysis of Yersinia pestis genomes from Madagascar	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Yersinia pestis Genome sequencing and assembly	Primary submission	None	None	Bacteria	632	2016/09/02 00:00	yes	SRA/Trace	Northern Arizona University
12	341663	PRJEB14851	Other	The Justinianic Plague, which started in the 6th century and lasted to the mid-8th century, is thought to be the first of three historically documented plague pandemics causing massive casualties. Historical accounts and molecular data suggest the bacterium Yersinia pestis as its etiological agent. Here we present a new high-coverage (17.9 fold) Y. pestis genome obtained from a 6th-century skeleton recovered from a southern German burial site close to Munich. The reconstructed genome enabled the detection of 30 unique substitutions as well as structural differences that have not been previously described. We report indels affecting a lacl family transcription regulator gene as well as non-synonymous substitutions in the nrdE, fadJ and pcp genes, that have been suggested as plague virulence determinants or have been shown to be up-regulated in different models of plague infection. In addition, we identify 19 false positive substitutions in a previously published lower coverage Y. pestis genome from another archaeological site of the same time period and geographical region that is otherwise genetically identical to the high coverage genome sequence reported here, suggesting low genetic diversity of the plague during the 6th century in rural southern Germany.	Sequencing	None	Whole	Genome	Monoisolate	A high-coverage Yersinia pestis Genome from a 6th-century Justinianic Plague Victim	Primary submission	None	None	None	0	2016/09/02 00:00	None	SRA/Trace	Max Planck Institute for the Science of Human History
13	340278	PRJNA340278	Genome sequencing and assembly	Isolates from a prairie dog passage experiment	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Yersinia pestis prairie dog passage sequencing	Primary submission	None	None	Bacteria	632	2016/08/26 00:00	yes	SRA/Trace	Northern Arizona University
14	337930	PRJEB15052	Genome sequencing and assembly	Yersinia pestis halotolerance illuminates plague reservoirs	Sequencing	None	Whole	Genome	Monoisolate	Yersinia pestis halotolerance illuminates plague reservoirs	Primary submission	None	None	None	0	2016/08/05 00:00	None	Scaffolds	URMITE
15	326509	PRJNA326509	Genome sequencing and assembly	Investigation of AMR in Yersinia pestis	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	AMR Yersinia pestis Genome sequencing and assembly	Primary submission	None	None	Bacteria	632	2016/07/26 00:00	None	Complete	USAMRIID
16	325569	PRJNA325569	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:KM874	Whole	Genome	Monoisolate	Yersinia pestis strain:KM874 Genome sequencing	Primary submission	None	KM874	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
17	325223	PRJNA325223	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:3551	Whole	Genome	Monoisolate	Yersinia pestis strain:3551 Genome sequencing	Primary submission	Ctenophthalmus teres	3551	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
18	325221	PRJNA325221	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:3544	Whole	Genome	Monoisolate	Yersinia pestis strain:3544 Genome sequencing	Primary submission	Microtus arvalis	3544	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
19	325219	PRJNA325219	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:261	Whole	Genome	Monoisolate	Yersinia pestis strain:261 Genome sequencing	Primary submission	meriones erythrourus	261	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
20	325218	PRJNA325218	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:1240	Whole	Genome	Monoisolate	Yersinia pestis strain:1240 Genome sequencing	Primary submission	meriones erythrourus	1240	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
21	325208	PRJNA325208	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:44	Whole	Genome	Monoisolate	Yersinia pestis strain:44 Genome sequencing	Primary submission	Ceratophyllus laeviceps	44	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
22	325206	PRJNA325206	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I-3223	Whole	Genome	Monoisolate	Yersinia pestis strain:I-3223 Genome sequencing	Primary submission	citellophylus tesquorum	I-3223	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
23	325202	PRJNA325202	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:244	Whole	Genome	Monoisolate	Yersinia pestis strain:244 Genome sequencing	Primary submission	Clinical Isolate	244	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
24	325200	PRJNA325200	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:C-627	Whole	Genome	Monoisolate	Yersinia pestis strain:C-627 Genome sequencing	Primary submission	Coleophora tesquorum	C-627	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
25	325198	PRJNA325198	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:1454	Whole	Genome	Monoisolate	Yersinia pestis strain:1454 Genome sequencing	Primary submission	Spermophilus undulatus	1454	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
26	325196	PRJNA325196	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I-3244	Whole	Genome	Monoisolate	Yersinia pestis strain:I-3244 Genome sequencing	Primary submission	Ochotona dauurica	I-3244	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
27	325083	PRJNA325083	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:349	Whole	Genome	Monoisolate	Yersinia pestis strain:349 Genome sequencing	Primary submission	Oropsylla silantievi	349	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
28	325081	PRJNA325081	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:337	Whole	Genome	Monoisolate	Yersinia pestis strain:337 Genome sequencing	Primary submission	None	337	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
29	325080	PRJNA325080	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I-3086	Whole	Genome	Monoisolate	Yersinia pestis strain:I-3086 Genome sequencing	Primary submission	Microtus brandti	I-3086	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
30	325076	PRJNA325076	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:338	Whole	Genome	Monoisolate	Yersinia pestis strain:338 Genome sequencing	Primary submission	None	338	Bacteria	632	2018/04/30 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
31	324794	PRJEB13664	Other	Yersinia pestis is one of the most virulent bacterial pathogens known to humans. Here we deepen our knowledge of its history through the analysis of Y. pestis genomes from plague victims of the Black Death and two subsequent historical outbreaks. Our sample range spans Europe and its vicinity, namely Barcelona, Spain (1300-1420 cal AD), Bolgar City, Russia (1298-1388 cal AD), and Ellwangen, Germany (1485-1627 cal AD). Our results provide support for a single entry of plague during the Black Death, followed by a medieval wave of plague that traveled towards Asia to later become the source population for contemporary worldwide epidemics. In addition, our data from post-Black Death outbreaks are best explained by the presence of an historical European plague focus that is now likely extinct.	Sequencing	None	Whole	Genome	Monoisolate	Historical Y. pestis genomes reveal the European Black Death as the source of ancient and modern plague pandemics	Primary submission	None	None	None	0	2016/06/08 00:00	None	SRA/Trace	Max Planck Institute for the Science of Human History
32	322444	PRJNA322444	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:1906	Whole	Genome	Monoisolate	Yersinia pestis strain:1906 Genome sequencing	Primary submission	None	1906	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
33	322440	PRJNA322440	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1836	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1836 Genome sequencing	Primary submission	None	A-1836	Bacteria	632	2017/10/03 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
34	322436	PRJNA322436	Genome sequencing and assembly	Whole genome shotgun sequencing	Sequencing	Yersinia pestis strain:M-1944	Whole	Genome	Monoisolate	Yersinia pestis strain:M-1944 Genome sequencing	Primary submission	None	M-1944	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
35	322434	PRJNA322434	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:835	Whole	Genome	Monoisolate	Yersinia pestis strain:835 Genome sequencing	Primary submission	None	835	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
36	322432	PRJNA322432	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:1530	Whole	Genome	Monoisolate	Yersinia pestis strain:1530 Genome sequencing	Primary submission	None	1530	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
37	322430	PRJNA322430	Genome sequencing and assembly	Whole genome shotgun sequencing	Sequencing	Yersinia pestis strain:595	Whole	Genome	Monoisolate	Yersinia pestis strain:595 Genome sequencing	Primary submission	None	595	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
38	322260	PRJNA322260	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:1313	Whole	Genome	Monoisolate	Yersinia pestis strain:1313 Genome sequencing	Primary submission	None	1313	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
39	322257	PRJNA322257	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I-2998	Whole	Genome	Monoisolate	Yersinia pestis strain:I-2998 Genome sequencing	Primary submission	None	I-2998	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
40	322252	PRJNA322252	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1691	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1691 Genome sequencing	Primary submission	None	A-1691	Bacteria	632	2017/10/03 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
41	322242	PRJNA322242	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1486	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1486 Genome sequencing	Primary submission	None	A-1486	Bacteria	632	2017/10/03 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
42	322240	PRJNA322240	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-986	Whole	Genome	Monoisolate	Yersinia pestis strain:M-986 Genome sequencing	Primary submission	None	M-986	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
43	322239	PRJNA322239	Genome sequencing and assembly	whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1249	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1249 Genome sequencing	Primary submission	None	A-1249	Bacteria	632	2017/10/03 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
44	322145	PRJNA322145	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:517	Whole	Genome	Monoisolate	Yersinia pestis strain:517 Genome sequencing	Primary submission	None	517	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
45	322137	PRJNA322137	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-1773	Whole	Genome	Monoisolate	Yersinia pestis strain:M-1773 Genome sequencing	Primary submission	None	M-1773	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
46	322135	PRJNA322135	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1809	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1809 Genome sequencing	Primary submission	None	A-1809	Bacteria	632	2017/10/03 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
47	322131	PRJNA322131	Genome sequencing and assembly	whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-1524	Whole	Genome	Monoisolate	Yersinia pestis strain:M-1524 Genome sequencing	Primary submission	None	M-1524	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
48	322122	PRJNA322122	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1920	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1920 Genome sequencing	Primary submission	None	A-1920	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
49	322120	PRJNA322120	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-1448	Whole	Genome	Monoisolate	Yersinia pestis strain:M-1448 Genome sequencing	Primary submission	None	M-1448	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
50	322117	PRJNA322117	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:A-1825	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1825 Genome sequencing	Primary submission	None	A-1825	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
51	322116	PRJNA322116	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:2751-55	Whole	Genome	Monoisolate	Yersinia pestis strain:2751-55 Genome sequencing	Primary submission	None	2751-55	Bacteria	632	2018/05/02 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
52	315671	PRJNA315671	Transcriptome or Gene expression	Yersinia pestis - THP–1 cell infection and differential gene expression study	Sequencing	Yersinia pestis strain:EHC	Whole	Transcriptome	Multiisolate	Yersinia pestis & THP-1 Transcriptome	Primary submission	EHC	EHC	Bacteria	632	2016/03/18 00:00	yes	SRA/Trace	Los Alamos National Laboratory
53	308707	PRJEB12163	Other	The 14th-18th century Yersinia pestis pandemic caused devastating epidemics in Europe for almost 400 years. The reasons for plague’s persistence and abrupt disappearance in Europe are poorly understood, but could have been due to either the presence of now-extinct plague foci in Europe itself, or successive disease introductions from other locations. Here we present five Y. pestis genomes from one of the last European outbreaks of plague, from 1722 Marseille, France. The lineage identified has not been found in any extant Y. pestis foci sampled to date, and has its ancestry in strains obtained from victims of the 14th century Black Death. These data suggest the existence of a previously uncharacterized historical plague focus within reach of Mediterranean port cities that persisted for at least three centuries. This disease source may have been responsible for the many resurgences of plague in Europe after the Black Death.	Sequencing	Ypestis_OBS_2016	Other	Other	Monoisolate	Eighteenth century Yersinia pestis genomes reveal the long-term persistence of an historical plague focus	Primary submission	None	None	None	0	2016/01/13 00:00	None	SRA/Trace	Max Planck Institute for the Science of Human History
54	307223	PRJNA307223	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-1453	Whole	Genome	Monoisolate	Yersinia pestis strain:M-1453 Genome sequencing	Primary submission	None	M-1453	Bacteria	632	2016/04/08 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
55	307218	PRJNA307218	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:173	Whole	Genome	Monoisolate	Yersinia pestis strain:173 Genome sequencing	Primary submission	None	173	Bacteria	632	2016/04/08 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
56	307216	PRJNA307216	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-549	Whole	Genome	Monoisolate	Yersinia pestis strain:M-549 Genome sequencing	Primary submission	None	M-549	Bacteria	632	2016/04/08 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
57	307162	PRJNA307162	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-519	Whole	Genome	Monoisolate	Yersinia pestis strain:M-519 Genome sequencing	Primary submission	None	M-519	Bacteria	632	2016/04/08 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
58	307156	PRJNA307156	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-1763	Whole	Genome	Monoisolate	Yersinia pestis strain:M-1763 Genome sequencing	Primary submission	None	M-1763	Bacteria	632	2016/04/08 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
59	307152	PRJNA307152	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-1484	Whole	Genome	Monoisolate	Yersinia pestis strain:M-1484 Genome sequencing	Primary submission	None	M-1484	Bacteria	632	2016/04/08 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
60	307141	PRJNA307141	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:C-791	Whole	Genome	Monoisolate	Yersinia pestis strain:C-791 Genome sequencing	Primary submission	None	C-791	Bacteria	632	2016/04/08 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
61	306824	PRJNA306824	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:KM-816	Whole	Genome	Monoisolate	Yersinia pestis strain:KM-816 Genome sequencing	Primary submission	Rhombomys opimus	KM-816	Bacteria	632	2016/04/07 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
62	306809	PRJNA306809	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:M-978	Whole	Genome	Monoisolate	Yersinia pestis strain:M-978 Genome sequencing	Primary submission	Citellus pigmaeus	M-978	Bacteria	632	2016/04/07 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
63	306803	PRJNA306803	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:1116-D	Whole	Genome	Monoisolate	Yersinia pestis strain:1116-D Genome sequencing	Primary submission	Citellus pigmaeus	1116-D	Bacteria	632	2016/04/07 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
64	306613	PRJNA306613	Genome sequencing and assembly	Whole genome shotgun sequence	Sequencing	Yersinia pestis strain:I1996	Whole	Genome	Monoisolate	Yersinia pestis strain:I1996 Genome sequencing	Primary submission	Spermophilus dauricus	I1996	Bacteria	632	2016/03/28 00:00	yes	Contigs	Russian Research Anti-Plague institute "Microbe"
65	305990	PRJNA305990	Genome sequencing and assembly	Yersinia pestis A-1815 strain whole genome shotgun sequencing	Sequencing	Yersinia pestis strain:A-1815 | isolate:Ceratophyllus caspius	Whole	Genome	Monoisolate	Yersinia pestis strain:A-1815 | isolate:Ceratophyllus caspius Genome sequencing	Primary submission	None	A-1815	Bacteria	632	2016/03/29 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
66	305970	PRJNA305970	Genome sequencing and assembly	Yersinia pestis C741 strain whole genome shotgun sequencing	Sequencing	Yersinia pestis strain:C741	Whole	Genome	Monoisolate	Yersinia pestis strain:C741 Genome sequencing	Primary submission	Ceratophyllus turbiclus	C741	Bacteria	632	2016/03/29 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
67	305705	PRJNA305705	Genome sequencing and assembly	Yersinia pestis KM918 strain whole genome shotgun sequencing	Sequencing	Yersinia pestis strain:KM918	Whole	Genome	Monoisolate	Yersinia pestis strain:KM918 Genome sequencing	Primary submission	None	KM918	Bacteria	632	2016/02/11 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
68	305573	PRJNA305573	Genome sequencing and assembly	Yersinia pestis M-1864 strain whole genome shotgun sequencing	Sequencing	Yersinia pestis strain:M-1864	Whole	Genome	Monoisolate	Yersinia pestis strain:M-1864 Genome sequencing	Primary submission	None	M-1864	Bacteria	632	2016/03/21 00:00	yes	Contigs	Russian Research Anti-Plague Institute Microbe
69	304135	PRJEB11860	Genome sequencing and assembly	Yersinia pestis halotolerance illuminates plague reservoirs	Sequencing	None	Other	Other	Monoisolate	Yersinia pestis genome	Primary submission	None	None	None	0	2015/11/25 00:00	None	Contigs	URMITE
70	294782	PRJNA294782	Raw sequence reads	Sequencing and Analysis of Yersinia pestis CO92	Sequencing	Yersinia pestis CO92	Whole	Genome	Monoisolate	Functional and structural analysis of a highly-expressed Yersinia pestis small RNA upon host cell infection	Primary submission	None	CO92	Bacteria	214092	2015/09/04 00:00	yes	SRA/Trace	Los Alamos National Laboratory
71	293979	PRJNA293979	Genome sequencing and assembly	Investigation of evolution during adaptation to laboratory growth of wild-caught Yersinia pestis.	Sequencing	Yersinia pestis strain:Yp2126	Whole	Genome	Monoisolate	Yersinia pestis strain:Yp2126 Genome sequencing	Primary submission	None	Yp2126	Bacteria	632	2016/01/10 00:00	None	Scaffolds	Pacific Northwest National Laboratory
72	293978	PRJNA293978	Genome sequencing and assembly	Investigation of evolution during adaptation to laboratory growth of wild-caught strains of Yersinia pestis.	Sequencing	Yersinia pestis strain:Yp1945	Whole	Genome	Monoisolate	Yersinia pestis strain:Yp1945 Genome sequencing	Primary submission	None	Yp1945	Bacteria	632	2016/01/10 00:00	None	Scaffolds	Pacific Northwest National Laboratory
73	293891	PRJNA293891	Raw sequence reads	Identify markers of adaptation to laboratory growth in wild isolates of Y. pestis.	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Yersinia pestis Raw sequence reads	Primary submission	None	None	Bacteria	632	2015/08/25 00:00	None	SRA/Trace	Pacific Northwest National Laboratory
74	288602	PRJNA288602	Genome sequencing and assembly	Genome sequencing and assembly of Yersinia pestis KIM 10v	Sequencing	Yersinia pestis strain:KIM 10v	Whole	Genome	Monoisolate	Yersinia pestis KIM 10v genome sequencing and assembly	Primary submission	None	KIM 10v	Bacteria	632	2015/08/06 00:00	yes	Scaffolds	Los Alamos National Laboratory
75	288599	PRJNA288599	Genome sequencing and assembly	Genome sequencing and assembly of Yersinia pestis EV76D YPW_3	Sequencing	Yersinia pestis strain:EV76D	Whole	Genome	Monoisolate	Yersinia pestis EV76D YPW_3 genome sequencing and assembly	Primary submission	None	EV76D	Bacteria	632	2015/08/06 00:00	yes	Scaffolds	Los Alamos National Laboratory
76	277922	PRJNA277922	Raw sequence reads	Two Y pestis laboratory strains	Sequencing	Yersinia pestis	Whole	Genome	Multiisolate	Yersinia pestis Raw sequence reads	Primary submission	None	None	Bacteria	632	2015/03/11 00:00	yes	SRA/Trace	Los Alamos National Laboratory
