id	SRA_id	BioProjectAccession	BioSampleAccession	ExperimentAccession	RunAccession	SampleAccession	ExperimentName	ExperimentStatus	ExperimentVersion	IsPublic	SampleName	StaticDataAvailable	StudyAcc	StudName	Title	OrganismName	OrganismTaxID	ClusterName	InstrumentModel	LibraryName	LibraryLayout	LibrarySelection	LibrarySource	LibraryStrategy	Platform	TotalBases	TotalSize	TotalSpots	TotalRuns	CreateDate	UpdateDate	CenterName	ContactName	LabName	SubmitterAccession
30	4481207	PRJEB19335	SAMEA104233048	ERX2169815	ERR2112571	ERS1892066	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	ABI910	SINGLE	RANDOM	GENOMIC	WGS	ILLUMINA	3812728556	1306788854	50167481	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
31	4481206	PRJEB19335	SAMEA104233048	ERX2169814	ERR2112570	ERS1892066	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	ABI910	SINGLE	RANDOM	GENOMIC	WGS	ILLUMINA	3825059480	1303144919	50329730	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
32	4481205	PRJEB19335	SAMEA104233048	ERX2169813	ERR2112569	ERS1892066	Illumina HiSeq 4000 sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 sequencing	None	632	public	Illumina HiSeq 4000	ABI910	SINGLE	RANDOM	GENOMIC	WGS	ILLUMINA	3855882344	1327788709	50735294	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1086110
33	4481204	PRJEB19335	SAMEA104233051	ERX2169809	ERR2112565	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16738522218	5939274139	164103159	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
34	4481203	PRJEB19335	SAMEA104233051	ERX2169808	ERR2112564	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16934630274	5950460245	166025787	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
35	4481202	PRJEB19335	SAMEA104233051	ERX2169807	ERR2112563	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16801552812	5937962381	164721106	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
36	4481201	PRJEB19335	SAMEA104233048	ERX2169796	ERR2112552	ERS1892066	NextSeq 500 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	NextSeq 500 paired end sequencing	None	632	public	NextSeq 500	ABI910	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	15518118368	8200184680	102092884	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
37	4481200	PRJEB19335	SAMEA104233046	ERX2169790	ERR2112546	ERS1892064	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	ABI745	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	54385528560	20474534866	357799530	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
38	4481199	PRJEB19335	SAMEA104233046	ERX2169788	ERR2112544	ERS1892064	NextSeq 500 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	NextSeq 500 paired end sequencing	None	632	public	NextSeq 500	ABI745	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	54080368143	23757510649	501935486	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
39	4480257	PRJEB19335	SAMEA104233051	ERX2169812	ERR2112568	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16883879766	6042277399	165528233	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
40	4480256	PRJEB19335	SAMEA104233051	ERX2169811	ERR2112567	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16789693068	6019040752	164604834	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
41	4480255	PRJEB19335	SAMEA104233051	ERX2169810	ERR2112566	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16895774598	6006244752	165644849	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
42	4480254	PRJEB19335	SAMEA104233051	ERX2169806	ERR2112562	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16794380988	5990569617	164650794	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
43	4480253	PRJEB19335	SAMEA104233051	ERX2169805	ERR2112561	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16845950250	5902257073	165156375	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
44	4480252	PRJEB19335	SAMEA104233051	ERX2169804	ERR2112560	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16639902498	5949455304	163136299	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
45	4480251	PRJEB19335	SAMEA104233051	ERX2169803	ERR2112559	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16826534652	5933100474	164966026	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
46	4480250	PRJEB19335	SAMEA104233051	ERX2169802	ERR2112558	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16802585562	5928829281	164731231	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
47	4480249	PRJEB19335	SAMEA104233051	ERX2169801	ERR2112557	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16755861606	5944503763	164273153	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
48	4480248	PRJEB19335	SAMEA104233051	ERX2169800	ERR2112556	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16384591704	5899362227	160633252	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
49	4480247	PRJEB19335	SAMEA104233051	ERX2169799	ERR2112555	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16470988560	5988061517	161480280	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
50	4480246	PRJEB19335	SAMEA104233051	ERX2169798	ERR2112554	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16327548306	5975724258	160074003	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
51	4480245	PRJEB19335	SAMEA104233051	ERX2169797	ERR2112553	ERS1892069	Illumina HiSeq 4000 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	Illumina HiSeq 4000 paired end sequencing	None	632	public	Illumina HiSeq 4000	RK1.001.C0101	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	16168011942	6061907279	158509921	1	2017/09/12	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
52	4480244	PRJEB19335	SAMEA104233048	ERX2169795	ERR2112551	ERS1892066	NextSeq 500 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	NextSeq 500 paired end sequencing	None	632	public	NextSeq 500	ABI910	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	10616170200	5610442745	69843225	1	2017/09/13	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
53	4480243	PRJEB19335	SAMEA104233048	ERX2169794	ERR2112550	ERS1892066	NextSeq 500 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	NextSeq 500 paired end sequencing	None	632	public	NextSeq 500	ABI910	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	13838247960	7391107169	91041105	1	2017/09/13	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
54	4480242	PRJEB19335	SAMEA104233048	ERX2169793	ERR2112549	ERS1892066	NextSeq 500 paired end sequencing	public	1	true		true	ERP021337	The Stone Age Plague: 1000 years of Persistence in Eurasia	NextSeq 500 paired end sequencing	None	632	public	NextSeq 500	ABI910	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	9133191928	4833246983	60086789	1	2017/09/13	2017/09/12	Max Planck Institute for the Science of Human Hist	European Nucleotide Archive	European Nucleotide Archive	ERA1084909
