id	BioSample_id	Accession	BioProject	SRAAccession	BioSampleTitle	SampleName	SampleType	Package	Infraspecies	Organism	OrganismAlt	SubSpecies	Strain	TaxonomyID	Biovar	CollectionDate	GeographicLocation	Host	HostDisease	IsolateNameAlias	IsolationSource	Lat	LatLon	Lon	Date	ModificationDate	PublicationDate	Organization
25	5521420	SAMN05521420	PRJNA269675	SRS1608317	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2016 Sample 47	Cell culture	Microbe.1.0	strain: SCPM-O-B-7037	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-7037	385966	Caucasica	12-Jun-1978	missing	missing	None	None	missing	None	None	None	2016/08/08	2018/06/04	2016/08/08	SRCAMB
26	4993042	SAMN04993042	PRJNA269675	SRS1439505	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2015 Sample 43	Cell culture	Microbe.1.0	strain: SCPM-O-B-7042	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-7042	385966	Caucasica	10-Jun-1996	missing	None	None	None	missing	None	None	None	2016/05/12	2018/06/04	2016/05/12	SRCAMB
27	4992976	SAMN04992976	PRJNA269675	SRS1439497	Microbe sample from Yersinia pestis subsp. microtus bv. Altaica	RSCF 2015 Sample 41	Cell culture	Microbe.1.0	strain: SCPM-O-B-7469	Yersinia pestis subsp. microtus bv. Altaica	Yersinia pestis subsp. microtus bv. Altaica	microtus	SCPM-O-B-7469	385967	Altaica	31-May-1990	missing	None	None	None	missing	None	None	None	2016/05/12	2018/06/04	2016/05/12	SRCAMB
28	4992974	SAMN04992974	PRJNA269675	SRS1439496	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2015 Sample 40	Cell culture	Microbe.1.0	strain: SCPM-O-B-6994	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-6994	385966	Caucasica	08-Jun-1998	missing	None	None	None	missing	None	None	None	2016/05/12	2018/06/04	2016/05/12	SRCAMB
29	4992971	SAMN04992971	PRJNA269675	SRS1439494	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2015 Sample 39	Cell culture	Microbe.1.0	strain: SCPM-O-B-7005	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-7005	385966	Caucasica	25-Jun-2010	missing	None	None	None	missing	None	None	None	2016/05/12	2018/06/04	2016/05/12	SRCAMB
30	4992968	SAMN04992968	PRJNA269675	SRS1434957	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2015 Sample 38	Cell culture	Microbe.1.0	strain: SCPM-O-B-7111	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-7111	385966	Caucasica	12-Jun-1997	missing	missing	None	None	missing	None	None	None	2016/05/12	2018/06/04	2016/05/12	SRCAMB
31	3893400	SAMN03893400	PRJNA269675	SRS1013406	Microbe sample from Yersinia pestis subsp. microtus bv. Ulegeica	RSCF 2015 Sample 29	Cell culture	Microbe.1.0	strain: SCPM-O-B-6906	Yersinia pestis subsp. microtus bv. Ulegeica	Yersinia pestis subsp. microtus bv. Ulegeica	microtus	SCPM-O-B-6906	385969	Ulegeica	27-Jun-1974	missing	None	None	None	missing	None	None	None	2015/07/27	2018/06/04	2015/07/27	SRCAMB
32	3861513	SAMN03861513	PRJNA269675	SRS1009238	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2015 Sample 28	Cell culture	Microbe.1.0	strain: SCPM-O-B-6540	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-6540	385966	Caucasica	10-Feb-1989	missing	None	None	None	missing	None	None	None	2015/07/15	2018/06/04	2015/07/15	SRCAMB
33	3861512	SAMN03861512	PRJNA269675	SRS1009219	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2015 Sample 27	Cell culture	Microbe.1.0	strain: SCPM-O-B-6536	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-6536	385966	Caucasica	25-Oct-1976	missing	None	None	None	missing	None	None	None	2015/07/15	2018/06/04	2015/07/15	SRCAMB
34	3861510	SAMN03861510	PRJNA269675	SRS1087697	Microbe sample from Yersinia pestis subsp. microtus bv. Ulegeica	RSCF 2015 Sample 25	Cell culture	Microbe.1.0	strain: SCPM-O-B-6213	Yersinia pestis subsp. microtus bv. Ulegeica	Yersinia pestis subsp. microtus bv. Ulegeica	microtus	SCPM-O-B-6213	385969	Ulegeica	22-Aug-1972	missing	None	None	None	missing	None	None	None	2015/07/15	2018/06/04	2015/07/15	SRCAMB
35	3861503	SAMN03861503	PRJNA269675	SRS1009212	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2015 Sample 24	Cell culture	Microbe.1.0	strain: SCPM-O-B-6300	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-6300	385966	Caucasica	19-Aug-1971	missing	None	None	None	missing	None	None	None	2015/07/15	2018/06/04	2015/07/15	SRCAMB
36	3861500	SAMN03861500	PRJNA269675	SRS1009207	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2015 Sample 23	Cell culture	Microbe.1.0	strain: SCPM-O-B-7832	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-7832	385966	Caucasica	09-Nov-1978	missing	None	None	None	missing	None	None	None	2015/07/15	2018/06/04	2015/07/15	SRCAMB
37	3861486	SAMN03861486	PRJNA269675	SRS1009206	Microbe sample from Yersinia pestis subsp. microtus bv. Altaica	RSCF 2015 Sample 21	Cell culture	Microbe.1.0	strain: SCPM-O-B-7075	Yersinia pestis subsp. microtus bv. Altaica	Yersinia pestis subsp. microtus bv. Altaica	microtus	SCPM-O-B-7075	385967	Altaica	27-Jun-1961	missing	None	None	None	missing	None	None	None	2015/07/15	2018/06/04	2015/07/15	SRCAMB
38	3861484	SAMN03861484	PRJNA269675	SRS1009205	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2015 Sample 20	Cell culture	Microbe.1.0	strain: SCPM-O-B-6984	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-6984	385966	Caucasica	03-Jul-1969	missing	None	None	None	missing	None	None	None	2015/07/15	2018/06/04	2015/07/15	SRCAMB
39	3861482	SAMN03861482	PRJNA269675	SRS1009202	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2015 Sample 18	Cell culture	Microbe.1.0	strain: SCPM-O-B-6974	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-6974	385966	Caucasica	08-Dec-1967	missing	None	None	None	missing	None	None	None	2015/07/15	2018/06/04	2015/07/15	SRCAMB
40	3861481	SAMN03861481	PRJNA269675	SRS1009201	Microbe sample from Yersinia pestis subsp. microtus bv. Talassica	RSCF 2015 Sample 17	Cell culture	Microbe.1.0	strain: SCPM-O-B-7019	Yersinia pestis subsp. microtus bv. Talassica	Yersinia pestis subsp. microtus bv. Talassica	microtus	SCPM-O-B-7019	385968	Talassica	28-Aug-1980	missing	None	None	None	missing	None	None	None	2015/07/15	2018/06/04	2015/07/15	SRCAMB
41	3839881	SAMN03839881	PRJNA269675	SRS985906	Microbe sample from Yersinia pestis subsp. microtus bv. Altaica	RSCF 2015 Sample 16	Cell culture	Microbe.1.0	strain: SCPM-O-B-7812	Yersinia pestis subsp. microtus bv. Altaica	Yersinia pestis subsp. microtus bv. Altaica	microtus	SCPM-O-B-7812	385967	Altaica	21-Sep-2002	missing	None	None	None	missing	None	None	None	2015/07/07	2018/06/04	2015/07/07	SRCAMB
42	3839880	SAMN03839880	PRJNA269675	SRS985909	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2015 Sample 15	Cell culture	Microbe.1.0	strain: SCPM-O-B-6990	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-6990	385966	Caucasica	04-Aug-1971	missing	None	None	None	missing	None	None	None	2015/07/07	2018/06/04	2015/07/07	SRCAMB
43	3839879	SAMN03839879	PRJNA269675	SRS985911	Microbe sample from Yersinia pestis subsp. microtus bv. Talassica	RSCF 2015 Sample 14	Cell culture	Microbe.1.0	strain: SCPM-O-B-7074	Yersinia pestis subsp. microtus bv. Talassica	Yersinia pestis subsp. microtus bv. Talassica	microtus	SCPM-O-B-7074	385968	Talassica	06-Sep-1980	missing	None	None	None	missing	None	None	None	2015/07/07	2018/06/04	2015/07/07	SRCAMB
44	3839878	SAMN03839878	PRJNA269675	SRS985914	Microbe sample from Yersinia pestis subsp. microtus bv. Hissarica	RSCF 2015 Sample 13	missing	Microbe.1.0	strain: SCPM-O-B-6304	Yersinia pestis subsp. microtus bv. Hissarica	Yersinia pestis subsp. microtus bv. Hissarica	microtus	SCPM-O-B-6304	385965	Hissarica	13-Sep-1979	missing	None	None	None	missing	None	None	None	2015/07/07	2018/06/04	2015/07/07	SRCAMB
45	3839877	SAMN03839877	PRJNA269675	SRS985915	Microbe sample from Yersinia pestis subsp. microtus bv. Xilingolensis	RSCF 2015 Sample 12	Cell culture	Microbe.1.0	strain: SCPM-O-B-6216	Yersinia pestis subsp. microtus bv. Xilingolensis	Yersinia pestis subsp. microtus bv. Xilingolensis	microtus	SCPM-O-B-6216	1679171	Xilingolensis	20-May-1984	missing	None	None	None	missing	None	None	None	2015/07/07	2018/06/04	2015/07/07	SRCAMB
46	3839876	SAMN03839876	PRJNA269675	SRS985916	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2015 Sample 11	Cell culture	Microbe.1.0	strain: SCPM-O-B-7761	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-7761	385966	Caucasica	22-Oct-1983	missing	None	None	None	missing	None	None	None	2015/07/06	2018/06/04	2015/07/06	SRCAMB
47	3839871	SAMN03839871	PRJNA269675	SRS985899	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2015 Sample 10	Cell culture	Microbe.1.0	strain: SCPM-O-B-6904	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-6904	385966	Caucasica	13-Jun-1984	missing	None	None	None	missing	None	None	None	2015/07/06	2018/06/04	2015/07/06	SRCAMB
48	3839870	SAMN03839870	PRJNA269675	SRS985586	Microbe sample from Yersinia pestis subsp. microtus bv. Ulegeica	RSCF 2015 Sample 09	Cell culture	Microbe.1.0	strain: SCPM-O-B-6706	Yersinia pestis subsp. microtus bv. Ulegeica	Yersinia pestis subsp. microtus bv. Ulegeica	microtus	SCPM-O-B-6706	385969	Ulegeica	24-Mar-1986	missing	None	None	None	missing	None	None	None	2015/07/06	2018/06/04	2015/07/06	SRCAMB
49	3262632	SAMN03262632	PRJNA269675	SRS801142	Yersinia pestis ssp. pestis bv. medievalis	RSCF 2014 Sample 08	Cell culture	Microbe.1.0	strain: SCPM-O-B-7283	Yersinia pestis subsp. pestis bv. Medievalis	Yersinia pestis subsp. pestis bv. Medievalis	pestis	SCPM-O-B-7283	1234662	Medievalis	09-Nov-1971	missing	missing	None	None	missing	None	None	None	2014/12/11	2018/06/04	2014/12/11	SRCAMB
50	3262629	SAMN03262629	PRJNA269675	SRS815120	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2014 Sample 07	Cell culture	Microbe.1.0	strain: SCPM-O-B-6986	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-6986	385966	Caucasica	10-Nov-1969	missing	missing	None	None	missing	None	None	None	2014/12/11	2018/06/04	2014/12/11	SRCAMB
51	3256462	SAMN03256462	PRJNA269675	SRS798746	Microbe sample from Yersinia pestis subsp. microtus bv. Caucasica	RSCF 2014 Sample 06	Cell culture	Microbe.1.0	strain: SCPM-O-B-7761	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-7761	385966	Caucasica	22-Oct-1983	missing	missing	None	None	missing	None	None	None	2014/12/10	2018/06/04	2014/12/10	SRCAMB
52	3256461	SAMN03256461	PRJNA269675	SRS798636	Yersinia pestis ssp. microtus bv. caucasica	RSCF 2014 Sample 05	cell culture	Microbe.1.0	strain: SCPM-O-B-7005	Yersinia pestis subsp. microtus bv. Caucasica	Yersinia pestis subsp. microtus bv. Caucasica	microtus	SCPM-O-B-7005	385966	Caucasica	26-Jun-2010	missing	missing	None	None	missing	None	None	None	2014/12/10	2018/06/04	2014/12/10	SRCAMB
53	3256459	SAMN03256459	PRJNA269675	SRS798185	Yersinia pestis ssp. microtus bv. ulegeica	RSCF 2014 Sample 03	Cell culture	Microbe.1.0	strain: SCPM-O-B-6906	Yersinia pestis subsp. microtus bv. Ulegeica	Yersinia pestis subsp. microtus bv. Ulegeica	microtus	SCPM-O-B-6906	385969	Ulegeica	27-Jun-1974	missing	missing	None	None	missing	None	None	None	2014/12/10	2018/06/04	2014/12/10	SRCAMB
54	3256423	SAMN03256423	PRJNA269675	SRS788711	Yersinia pestis ssp. microtus bv. ulegeica	RSCF 2014 Sample 02	Cell culture	Microbe.1.0	strain: SCPM-O-B-6706	Yersinia pestis subsp. microtus bv. Ulegeica	Yersinia pestis subsp. microtus bv. Ulegeica	microtus	SCPM-O-B-6706	385969	Ulegeica	24-Mar-1986	missing	missing	None	None	missing	None	None	None	2014/12/10	2018/06/04	2014/12/10	SRCAMB
55	8866751	SAMN08866751	None	None	Pathogen: environmental/food/other sample from Yersinia pestis	I-2422	None	Pathogen.env.1.0	strain: I-2422	Yersinia pestis	Yersinia pestis	None	I-2422	632	None	1974	Mongolia: Bayan-Ulegei aimak	Amphalius runatus	None	None	missing	None	missing	None	2018/05/15	2018/05/15	2018/05/15	Russian Research Anti-Plague Institute Microbe
56	8625969	SAMN08625969	None	SRS3009352	Microbe sample from Yersinia pestis	2018 Sample 105	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-17	Yersinia pestis	Yersinia pestis	None	SCPM-O-DNA-17	632	None	1973	missing	missing	None	I-2457	None	None	None	None	2018/03/01	2018/05/14	2018/03/01	SRCAMB
57	8625968	SAMN08625968	None	SRS3009351	Microbe sample from Yersinia pestis	2018 Sample 104	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-16	Yersinia pestis	Yersinia pestis	None	SCPM-O-DNA-16	632	None	1974	missing	missing	None	I-2422 pMT+	None	None	None	None	2018/03/01	2018/05/14	2018/03/01	SRCAMB
58	8625967	SAMN08625967	None	SRS3009354	Microbe sample from Yersinia pestis	2018 Sample 103	Cell culture	Microbe.1.0	strain: SCPM-O-DNA-15	Yersinia pestis	Yersinia pestis	None	SCPM-O-DNA-15	632	None	1972	missing	missing	None	I-2236	None	None	None	None	2018/03/01	2018/05/14	2018/03/01	SRCAMB
59	8625966	SAMN08625966	PRJNA269675	SRS3009353	Microbe sample from Yersinia pestis	2018 Sample 102	Cell culture	Microbe.1.0	strain: SCPM-O-B-6218	Yersinia pestis	Yersinia pestis	None	SCPM-O-B-6218	632	None	24-Mar-1986	missing	missing	None	I-3190	None	None	None	None	2018/03/01	2018/05/14	2018/03/01	SRCAMB
60	8625965	SAMN08625965	PRJNA269675	SRS3009356	Microbe sample from Yersinia pestis	2018 Sample 101	Cell culture	Microbe.1.0	strain: SCPM-O-B-6212	Yersinia pestis	Yersinia pestis	None	SCPM-O-B-6212	632	None	22-Aug-1972	missing	missing	None	I-2238	None	None	None	None	2018/03/01	2018/05/14	2018/03/01	SRCAMB
