I1969003	collection_date	host	geographic_location	alternative_strain	biovar
IP519	1951		Kurdistan	PKH 4	
IP520	1947		Kurdistan	PKR 8	
IP521	<1964		Turkey	T10/1	
IP523	1944		Senegal	Thierno	
IP524	1944		Senegal	Fayni-sy	
IP527	1964		Germany	5	
IP528	1946		Madagascar	62/46	
IP529	<1939		Madagascar	112	
IP532	1955		Vietnam	55-801	
IP536	1955		Kenya	129	
IP537	1952		Kenya	147	
IP538	1952		Kenya	162	
IP539	1952		Kenya	164	
IP540	1952		Kenya	169	
IP541	1948		China (Original USSR)	Harbin	
IP542	1952		Kenya	144	
IP543	1953		Congo	Lita	
IP544	<1984		Kenya	Muimi	
IP545	<1979		Kenya	David Matata	
IP546	<1984		Nepal	Nepal	
IP547	1948		Kenya	Dar Es Salem	
IP548	1948		Congo	343	
IP549	1953		Congo	Logo 1/53	
IP550	<1981		Kenya	Edmond	
IP551	<1981		Kenya	Tanzania	
IP552	<1982		Kenya	Margaret	
IP553	<1981		Kenya	Kyule	
IP554	<1983		Kenya	Rosaline	
IP556	1963		Kurdistan	PKR 290	
IP557	1963		Kurdistan	PKR 292	
IP558	1963		Kurdistan	PKR 298	
IP559	1963		Kurdistan	PKR 299	
IP560	1963		Kurdistan	PKR 300	
IP561	1963		Kurdistan	PKR 301	
IP562	1947		Kurdistan	PKR 6	
IP563	1947		Kurdistan	PKR 5	
IP565	1952		Turkey	T10/5	
IP566	1964		Kenya	129M	
IP568	1967		Brazil	Exu 53	
IP571	1967		Brazil	Exu 184	
IP573	1948		USA	7793	
IP574	1950		USA (Hawaii)	H193	
IP577	1940		Morocco	243	
IP578	1940		Morocco	48	
IP579	1898		India	195	
IP585	1954		Madagascar	4/54	
IP594	1970		Madagascar	13/70	
IP600	1982		Madagascar	13/82	
IP601	1984		Madagascar	10/84	
IP604	1988		Madagascar	4/88	
IP606	1983		Madagascar	10/83	
IP608	<1964		Israel	Ha?ffa	
IP610	1946		Argentina	Cuis14	
IP611	UN		China (Original Japan)	Japonaise lyophi	
IP612	1970		Burma	637	
IP613	1970		Burma	548	
IP616	UN		Iran	PAR 13	
IP617	UN		Iran	PAR 3	
IP619	1945		South Africa	2.1904	
IP637	1949		Madagascar	96/49	
IP643	1983		Madagascar	4/83	
IP656	1964		Madagascar	4/64	
IP657	1983		Madagascar	5/83	
IP658	1983		Madagascar	12/83	
IP659	1986		Madagascar	5/86	
IP661	1988		Madagascar	29/88	
IP662	1989		Madagascar	44/89	
IP664	1990		Madagascar	6/90	
IP665	1990		Madagascar	78/90	
IP666	1992		Madagascar	100/92	
IP667	1993		Madagascar	28/93	
IP668	1993		Madagascar	41/93	
IP669	<1965		Kurdistan	PKR 321	
IP670	<1965		Kurdistan	PKR 322	
IP674	1952		Turkey	T15/1	
IP677	1981		Kenya	Beatrice	
IP678	1950		Congo	Elisabetville	
IP685	<1952		Germany	Hamburg 10	
IP695	<1952		Germany	Hamburg 9	
IP696	<1952		Germany	Hamburg 26	
IP772	1963		Vietnam	Nhatrang 63-127	
IP820	1964		Vietnam	Nhatrang 64-260	
IP847	1964		Vietnam	64-304	
IP989	1964		Vietnam	Dalat 131	
J1962002	1962		China		
J1971002	1971		China	J1971004	
J1977003	1977		China	J1977006	
K11972003	1972		China	K1972004	
K11973001	1973		China	K1973001	
K11973004	1973		China	K1973003	
K21985003	1985		China	C1985003	
K21985006	1985		China	C1985005	
K21987003	1987		China	C1987002	
L1970002	1970		China		
L1970006	1970		China	L1970009	
L1970011	1970		China	L1970015	
M1997001	1997		China	M1997005	
M2001009	2001		China		
M2001010	2001		China		
Pestoides B	<1984		"Kazakhstan, Altai Mountains, Azerbaijan"	PEST-B	Altaica
Pestoides C	<1984		"Kazakhstan, Altai Mountains, Azerbaijan"	PEST-C	Altaica
Pestoides D	<1984		"Kazakhstan, Altai Mountains, Azerbaijan"	PEST-D	Altaica
Pestoides E	<1984		USSR	PEST-E	
Pestoides G	<1984		USSR	PEST-G	
